Combined Name,Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (g),Sodium (g),Carbs,Fiber,Sugars (g),Protein (g),Weight Watchers Pnts,Weight Watchers Pnts_old
BEVERAGES_Diet Pepsi  Wild Cherry Pepsi  (16 fl oz),0,0,0,0,0,0.05,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  Wild Cherry Pepsi  (20 fl oz),0,0,0,0,0,0.06,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  Wild Cherry Pepsi  (30 fl oz),0,0,0,0,0,0.1,0,0,0,0,0,0
BEVERAGES_Dr Pepper  (12 fl oz),140,0,0,0,0,0.05,39,0,38,0,2.8,178
BEVERAGES_Dr Pepper  (16 fl oz),190,0,0,0,0,0.06,52,0,51,0,3.8,241
BEVERAGES_Dr Pepper  (20 fl oz),240,0,0,0,0,0.08,65,0,64,0,4.8,304
BEVERAGES_Dr Pepper  (30 fl oz),360,0,0,0,0,0.11,98,0,96,0,7.2,456
BEVERAGES_Lipton  Brisk  Lemon Tea (12 fl oz),80,0,0,0,0,0.04,22,0,22,0,1.6,102
BEVERAGES_Lipton  Brisk  Lemon Tea (16 fl oz),110,0,0,0,0,0.06,29,0,29,0,2.2,139
BEVERAGES_Lipton  Brisk  Lemon Tea (20 fl oz),140,0,0,0,0,0.07,36,0,36,0,2.8,176
BEVERAGES_Lipton  Brisk  Lemon Tea (30 fl oz),210,0,0,0,0,0.11,55,0,54,0,4.2,264
BEVERAGES_Lipton  Brisk  No Calorie Peach Iced Green Tea (12 fl oz),0,0,0,0,0,0.11,0,0,0,0,0,0
BEVERAGES_Lipton  Brisk  No Calorie Peach Iced Green Tea (16 fl oz),0,0,0,0,0,0.14,0,0,0,0,0,0
BEVERAGES_Lipton  Brisk  No Calorie Peach Iced Green Tea (20 fl oz),5,0,0,0,0,0.18,0,0,0,0,0.1,5
BEVERAGES_Lipton  Brisk  No Calorie Peach Iced Green Tea (30 fl oz),10,0,0,0,0,0.27,0,0,0,0,0.2,10
